[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 6116, CPU: 0, Pamiêæ: 3ÿ444 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 5484, CPU: 0, Pamiêæ: 4ÿ084 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: WmiPrvSE.exe, Status: Services, PID: 5868, CPU: 0, Pamiêæ: 3ÿ124 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 5804, CPU: 0, Pamiêæ: 8ÿ260 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 5464, CPU: 0, Pamiêæ: 6ÿ316 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: GoogleCrashHandler.exe, Status: Services, PID: 5756, CPU: 0, Pamiêæ: 1ÿ512 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: GoogleCrashHandler64.exe, Status: Services, PID: 5388, CPU: 0, Pamiêæ: 152 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: SgrmBroker.exe, Status: Services, PID: 5980, CPU: 0, Pamiêæ: 5ÿ864 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 1484, CPU: 0, Pamiêæ: 7ÿ924 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2664, CPU: 0, Pamiêæ: 5ÿ600 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: sihost.exe, Status: Console, PID: 5492, CPU: 1, Pamiêæ: 19ÿ516 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Console, PID: 1000, CPU: 1, Pamiêæ: 17ÿ588 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Console, PID: 5532, CPU: 1, Pamiêæ: 20ÿ844 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 4420, CPU: 0, Pamiêæ: 11ÿ648 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 4388, CPU: 0, Pamiêæ: 2ÿ232 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: taskhostw.exe, Status: Console, PID: 2476, CPU: 1, Pamiêæ: 13ÿ304 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: ctfmon.exe, Status: Console, PID: 2360, CPU: 1, Pamiêæ: 11ÿ548 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: explorer.exe, Status: Console, PID: 5460, CPU: 1, Pamiêæ: 208ÿ216 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: logioptionsplus_agent.exe, Status: Console, PID: 2260, CPU: 1, Pamiêæ: 69ÿ924 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: smartscreen.exe, Status: Console, PID: 1272, CPU: 1, Pamiêæ: 18ÿ244 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Console, PID: 6200, CPU: 1, Pamiêæ: 15ÿ252 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: logi_crashpad_handler.exe, Status: Console, PID: 6320, CPU: 1, Pamiêæ: 1ÿ672 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: logi_crashpad_handler.exe, Status: Services, PID: 6440, CPU: 0, Pamiêæ: 1ÿ140 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 6476, CPU: 0, Pamiêæ: 3ÿ376 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 6688, CPU: 0, Pamiêæ: 6ÿ852 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: StartMenuExperienceHost.exe, Status: Console, PID: 6836, CPU: 1, Pamiêæ: 57ÿ936 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: RuntimeBroker.exe, Status: Console, PID: 7056, CPU: 1, Pamiêæ: 22ÿ128 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: UserOOBEBroker.exe, Status: Console, PID: 6240, CPU: 1, Pamiêæ: 5ÿ184 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: SearchApp.exe, Status: Console, PID: 6564, CPU: 1, Pamiêæ: 55ÿ000 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: RuntimeBroker.exe, Status: Console, PID: 7492, CPU: 1, Pamiêæ: 27ÿ124 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: dllhost.exe, Status: Console, PID: 8372, CPU: 1, Pamiêæ: 6ÿ808 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: TextInputHost.exe, Status: Console, PID: 8828, CPU: 1, Pamiêæ: 14ÿ400 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: SecurityHealthSystray.exe, Status: Console, PID: 5648, CPU: 1, Pamiêæ: 4ÿ604 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: SecurityHealthService.exe, Status: Services, PID: 9032, CPU: 0, Pamiêæ: 8ÿ588 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 9140, CPU: 0, Pamiêæ: 13ÿ836 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: BingSvc.exe, Status: Console, PID: 5072, CPU: 1, Pamiêæ: 22ÿ624 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: RuntimeBroker.exe, Status: Console, PID: 4128, CPU: 1, Pamiêæ: 17ÿ064 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: flux.exe, Status: Console, PID: 7048, CPU: 1, Pamiêæ: 9ÿ552 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: BingWallpaperApp.exe, Status: Console, PID: 8260, CPU: 1, Pamiêæ: 28ÿ140 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: ApplicationFrameHost.exe, Status: Console, PID: 9992, CPU: 1, Pamiêæ: 22ÿ684 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: WhatsApp.exe, Status: Console, PID: 10016, CPU: 1, Pamiêæ: 85ÿ668 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: Discord.exe, Status: Console, PID: 5948, CPU: 1, Pamiêæ: 34ÿ216 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: RuntimeBroker.exe, Status: Console, PID: 8048, CPU: 1, Pamiêæ: 18ÿ988 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: msedge.exe, Status: Console, PID: 10776, CPU: 1, Pamiêæ: 222ÿ704 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
